SPORT PLATINUM,옵션들
0,38인치 커브드 OLED 디스플레이
1,AKG® 스튜디오 레퍼런스 사운드 시스템 (36개 스피커)
2,듀얼 12.6인치 디스플레이 리어 엔터테인먼트 시스템
3,액티브 에어 댐 디플랙터
4,리어 카메라 미러
5,콘솔 쿨러 (냉동기능 포함)
6,파노라마 선루프
7,전동식 사이드 스텝
8,에어라이드 어댑티브 서스펜션
9,어댑티브 크루즈 컨트롤
10,풀컬러 헤드업 디스플레이1)
11,HD 서라운드 비전1)
12,나이트 비전1)
13,인핸스드 자동 주차 보조 시스템1)
14,"갈바노 : 그릴, 전면 페시아 트림, 루프 랙, 윈도우 트림, 도어 핸들, 바디 사이드 몰딩, 리프트게이트 트림 및 배기구 베젤"
15,22인치 10-스포크 폴리쉬 알로이 휠 (다크 안드로이드 마감 레이져 에칭)
16,38인치 커브드 OLED 디스플레이
17,AKG® 스튜디오 레퍼런스 사운드 시스템 (36개 스피커)
18,듀얼 12.6인치 디스플레이 리어 엔터테인먼트 시스템
19,액티브 에어 댐 디플랙터
20,리어 카메라 미러
21,콘솔 쿨러 (냉동기능 포함)
22,파노라마 선루프
23,전동식 사이드 스텝
24,에어라이드 어댑티브 서스펜션
25,어댑티브 크루즈 컨트롤
26,풀컬러 헤드업 디스플레이1)
27,HD 서라운드 비전1)
28,나이트 비전1)
29,인핸스드 자동 주차 보조 시스템1)
30,"글로스-블랙 : 그릴, 전면 페시아 트림, 루프 랙, 윈도우 트림, (바디 컬러) 도어 핸들, 바디 사이드 몰딩, 리프트게이트 트림 및 배기구 베젤"
31,22인치 12-스포크 폴리쉬 알로이 휠 (다크 안드로이드 마감)
